pr_id,department,vendor_name,item_id,total_amount,created_date
PR-HIST-001,IT,Dell Partner,LAP-001,2500,2026-06-01T09:00:00+00:00
PR-HIST-002,IT,Dell Partner,LAP-001,2500,2026-06-03T10:00:00+00:00
PR-HIST-003,IT,Dell Partner,LAP-001,2500,2026-06-05T11:00:00+00:00
PR-HIST-004,IT,Dell Partner,LAP-001,2500,2026-06-08T14:00:00+00:00
PR-HIST-005,HR,Office Supplies Co,KEY-001,500,2026-06-10T09:00:00+00:00
PR-AUTO-001,HR,Office Supplies Co,KEY-001,70.0,2026-06-18T13:25:08.483540+00:00
PR-WEB-001,IT,Dell Partner,LAP-001,1200.0,2026-06-18T13:25:49.194003+00:00
PR-WEB-001,IT,Dell Partner,LAP-001,1200.0,2026-06-18T13:26:53.882410+00:00
PR-LOW-CONFIDENCE-001,IT,Dell Partner,UNK-001,900.0,2026-06-18T13:35:06.659575+00:00
PR-PDF-001,Unknown,,UNK-001,0.0,2026-06-18T13:36:52.926820+00:00
PR-PDF-MULTI-UI-001,IT,Dell Partner,LAP-001,2900.0,2026-06-18T19:20:57.750848+00:00
PR-SCAN-001,IT,Dell Partner,LAP-OOI,2400.0,2026-06-18T19:27:08.416490+00:00
PR-VAGUE-001,IT,Dell Partner,UNK-001,5000.0,2026-06-18T19:32:03.062823+00:00
PR-SCAN-001,IT,Dell Partner,LAP-OOI,2400.0,2026-06-18T21:18:23.408538+00:00
PR-WEB-001,IT,Dell Partner,LAP-001,1200.0,2026-06-19T07:52:24.203853+00:00
PR-WEB-001,IT,Dell Partner,LAP-001,3600.0,2026-06-19T07:53:09.269149+00:00
PR-AUTO-001,HR,Office Supplies Co,KEY-001,70.0,2026-06-19T08:14:17.918477+00:00
PR-AUTO-001,HR,Office Supplies Co,KEY-001,70.0,2026-06-19T08:55:32.321636+00:00
PR-WEB-001,IT,Dell Partner,LAP-002,1350.0,2026-06-19T09:18:20.483241+00:00
